,stock_code,date,prev,open,high,low,close,change
52,ACES,2024-03-20,845,850,945,850,930,85
53,ACES,2024-03-21,930,930,950,915,920,-10
54,ACES,2024-03-22,920,925,935,910,915,-5
55,ACES,2024-03-25,915,910,945,900,930,15
56,ACES,2024-03-26,930,930,930,910,925,-5
57,ACES,2024-03-27,925,925,930,905,910,-15
58,ACES,2024-03-28,910,910,915,880,880,-30
59,ACES,2024-04-01,880,880,910,855,910,30
60,ACES,2024-04-02,910,910,965,910,955,45
61,ACES,2024-04-03,955,955,965,945,955,0
62,ACES,2024-04-04,955,955,985,930,965,10
63,ACES,2024-04-05,965,960,960,945,950,-15
64,ACES,2024-04-16,950,935,935,885,910,-40
65,ACES,2024-04-17,910,910,930,910,920,10
66,ACES,2024-04-18,920,925,950,925,940,20
67,ACES,2024-04-19,940,940,945,915,920,-20
68,ACES,2024-04-22,920,935,960,930,945,25
69,ACES,2024-04-23,945,950,980,950,970,25
70,ACES,2024-04-24,970,975,985,960,970,0
71,ACES,2024-04-25,970,970,995,965,975,5
72,ACES,2024-04-26,975,975,975,890,910,-65
73,ACES,2024-04-29,910,910,940,910,935,25
74,ACES,2024-04-30,935,935,940,920,935,0
75,ACES,2024-05-02,935,935,935,870,910,-25
76,ACES,2024-05-03,910,915,925,870,880,-30
77,ACES,2024-05-06,880,895,900,865,875,-5
78,ACES,2024-05-07,875,875,900,875,890,15
79,ACES,2024-05-08,890,895,915,875,875,-15
80,ACES,2024-05-13,875,880,885,805,855,-20
81,ACES,2024-05-14,855,855,875,845,855,0
82,ACES,2024-05-15,855,855,880,855,875,20
83,ACES,2024-05-16,875,875,885,850,850,-25
84,ACES,2024-05-17,850,865,865,835,845,-5
85,ACES,2024-05-20,845,860,865,845,850,5
86,ACES,2024-05-21,850,855,855,800,800,-50
87,ACES,2024-05-22,800,810,810,775,800,0
88,ACES,2024-05-27,800,805,820,800,815,15
89,ACES,2024-05-28,815,815,825,800,810,-5
90,ACES,2024-05-29,810,810,835,805,825,15
91,ACES,2024-05-30,825,830,835,810,815,-10
92,ACES,2024-05-31,815,815,830,815,820,5
93,ACES,2023-01-02,496,0,510,496,510,14
94,ACES,2023-01-03,510,0,550,510,510,0
95,ACES,2023-01-04,510,0,525,500,500,-10
96,ACES,2023-01-05,500,0,505,484,488,-12
97,ACES,2023-01-06,488,0,500,480,490,2
98,ACES,2023-01-09,490,0,505,490,492,2
99,ACES,2023-01-10,492,0,498,470,482,-10
100,ACES,2023-01-11,482,0,484,450,450,-32
101,ACES,2023-01-12,450,0,470,442,466,16
102,ACES,2023-01-13,466,0,470,444,450,-16
103,ACES,2023-01-16,450,0,456,440,440,-10
104,ACES,2023-01-17,440,0,446,432,436,-4
105,ACES,2023-01-18,436,0,446,436,440,4
106,ACES,2023-01-19,440,0,442,426,430,-10
107,ACES,2023-01-20,430,0,458,430,458,28
108,ACES,2023-01-24,458,0,478,444,450,-8
109,ACES,2023-01-25,450,0,454,446,450,0
110,ACES,2023-01-26,450,0,488,452,486,36
111,ACES,2023-01-27,486,0,520,484,496,10
112,ACES,2023-01-30,496,0,510,494,498,2
113,ACES,2023-01-31,498,0,515,490,490,-8
114,ACES,2023-02-01,490,490,505,476,480,-10
115,ACES,2023-02-02,480,482,505,482,494,14
116,ACES,2023-02-03,494,500,500,486,492,-2
117,ACES,2023-02-06,492,494,510,490,498,6
118,ACES,2023-02-07,498,500,500,488,490,-8
119,ACES,2023-02-08,490,492,505,492,496,6
120,ACES,2023-02-09,496,498,520,494,510,14
121,ACES,2023-02-10,510,515,515,492,505,-5
122,ACES,2023-02-13,505,505,545,500,545,40
123,ACES,2023-02-14,545,550,565,530,540,-5
124,ACES,2023-02-15,540,545,550,540,545,5
125,ACES,2023-02-16,545,545,560,540,555,10
126,ACES,2023-02-17,555,560,565,530,540,-15
127,ACES,2023-02-20,540,540,550,530,540,0
128,ACES,2023-02-21,540,545,555,540,545,5
129,ACES,2023-02-22,545,540,545,520,525,-20
130,ACES,2023-02-23,525,530,535,500,510,-15
131,ACES,2023-02-24,510,515,535,510,515,5
132,ACES,2023-02-27,515,515,525,500,510,-5
133,ACES,2023-02-28,510,510,515,500,505,-5
134,ACES,2023-03-01,505,505,515,505,505,0
135,ACES,2023-03-02,505,505,510,492,494,-11
136,ACES,2023-03-03,494,494,510,486,496,2
137,ACES,2023-03-06,496,505,510,498,498,2
138,ACES,2023-03-07,498,500,505,494,496,-2
139,ACES,2023-03-08,496,494,496,480,486,-10
140,ACES,2023-03-09,486,488,505,486,500,14
141,ACES,2023-03-10,500,500,505,492,500,0
142,ACES,2023-03-13,500,496,505,494,500,0
143,ACES,2023-03-14,500,498,500,466,468,-32
144,ACES,2023-03-15,468,472,482,436,456,-12
145,ACES,2023-03-16,456,452,458,436,440,-16
146,ACES,2023-03-17,440,442,454,442,442,2
147,ACES,2023-03-20,442,442,458,438,450,8
148,ACES,2023-03-21,450,452,458,444,450,0
149,ACES,2023-03-24,450,454,470,450,468,18
150,ACES,2023-03-27,468,470,478,460,468,0
151,ACES,2023-03-28,468,472,474,462,466,-2
152,ACES,2023-03-29,466,466,472,464,468,2
153,ACES,2023-03-30,468,470,486,470,482,14
154,ACES,2023-03-31,482,484,490,474,478,-4
155,ACES,2023-04-03,478,480,490,480,480,2
156,ACES,2023-04-04,480,480,486,472,474,-6
157,ACES,2023-04-05,474,474,480,464,464,-10
158,ACES,2023-04-06,464,468,470,450,452,-12
159,ACES,2023-04-10,452,454,456,440,444,-8
160,ACES,2023-04-11,444,444,452,442,444,0
161,ACES,2023-04-12,444,448,454,446,452,8
162,ACES,2023-04-13,452,452,454,444,446,-6
163,ACES,2023-04-14,446,446,450,444,446,0
164,ACES,2023-04-17,446,446,452,432,440,-6
165,ACES,2023-04-18,440,442,444,438,440,0
166,ACES,2023-04-26,440,440,444,438,442,2
167,ACES,2023-04-27,442,444,448,440,446,4
168,ACES,2023-04-28,446,446,454,446,450,4
169,ACES,2023-05-02,450,450,452,442,444,-6
170,ACES,2023-05-03,444,444,456,444,450,6
171,ACES,2023-05-04,450,450,466,448,464,14
172,ACES,2023-05-05,464,464,478,464,472,8
173,ACES,2023-05-08,472,476,525,476,510,38
174,ACES,2023-05-09,510,520,560,515,555,45
175,ACES,2023-05-10,555,560,560,535,550,-5
176,ACES,2023-05-11,550,550,550,525,540,-10
177,ACES,2023-05-12,540,540,550,530,535,-5
178,ACES,2023-05-15,535,535,565,535,565,30
179,ACES,2023-05-16,565,570,575,545,570,5
180,ACES,2023-05-17,570,570,600,560,595,25
181,ACES,2023-05-19,595,595,615,575,585,-10
182,ACES,2023-05-22,585,585,635,580,630,45
183,ACES,2023-05-23,630,630,645,595,605,-25
184,ACES,2023-05-24,605,605,625,600,615,10
185,ACES,2023-05-25,615,620,635,615,635,20
186,ACES,2023-05-26,635,640,655,635,655,20
187,ACES,2023-05-29,655,660,660,615,630,-25
188,ACES,2023-05-30,630,635,635,615,620,-10
189,ACES,2023-05-31,620,625,640,600,630,10
190,ACES,2023-06-05,630,630,635,610,630,0
191,ACES,2023-06-06,630,630,645,620,645,15
192,ACES,2023-06-07,645,645,705,640,700,55
193,ACES,2023-06-08,700,700,710,665,680,-20
194,ACES,2023-06-09,680,680,695,670,685,5
195,ACES,2023-06-12,685,685,705,675,680,-5
196,ACES,2023-06-13,680,680,685,630,645,-35
197,ACES,2023-06-14,645,645,685,635,685,40
198,ACES,2023-06-15,685,690,700,660,660,-25
199,ACES,2023-06-16,660,665,670,645,650,-10
200,ACES,2023-06-19,650,650,660,630,635,-15
201,ACES,2023-06-20,635,635,645,605,605,-30
202,ACES,2023-06-21,605,610,700,610,690,85
203,ACES,2023-06-22,690,690,690,660,670,-20
204,ACES,2023-06-23,670,670,680,660,670,0
205,ACES,2023-06-26,670,670,690,670,680,10
206,ACES,2023-06-27,680,680,685,670,675,-5
207,ACES,2023-07-03,675,675,690,670,670,-5
208,ACES,2023-07-04,670,670,685,640,655,-15
209,ACES,2023-07-05,655,635,650,625,640,-15
210,ACES,2023-07-06,640,645,665,635,655,15
211,ACES,2023-07-07,655,655,745,640,720,65
212,ACES,2023-07-10,720,725,735,705,710,-10
213,ACES,2023-07-11,710,710,725,705,710,0
214,ACES,2023-07-12,710,715,735,715,725,15
215,ACES,2023-07-13,725,730,730,700,715,-10
216,ACES,2023-07-14,715,715,730,710,720,5
217,ACES,2023-07-17,720,720,765,720,755,35
218,ACES,2023-07-18,755,760,780,735,750,-5
219,ACES,2023-07-20,750,750,795,695,695,-55
220,ACES,2023-07-21,695,695,715,690,705,10
221,ACES,2023-07-24,705,710,745,710,735,30
222,ACES,2023-07-25,735,745,780,730,750,15
223,ACES,2023-07-26,750,755,765,735,740,-10
