,model_name,stock,timestep,mse,mae,rmse,r2
30,unvr_1_100_0.2_100_8.h5,unvr,30,0.004093424964492991,0.04781878416021685,0.06397987937229165,0.9458241972242889
31,unvr_1_100_0.2_200_8.h5,unvr,30,0.004539358371630717,0.04677487205603403,0.0673747606424744,0.9399223422921107
32,unvr_1_100_0_100_32.h5,unvr,30,0.004266504130704627,0.0431315978544182,0.06531848230558199,0.9435335230688808
33,unvr_1_100_0_100_8.h5,unvr,30,0.004420914460405612,0.04452917853656681,0.0664899575906438,0.9414899278787955
34,unvr_1_100_0_200_32.h5,unvr,30,0.004112012221005144,0.04190666256196001,0.06412497345812429,0.9455781979567615
35,unvr_1_100_0_200_8.h5,unvr,30,0.005760012374043195,0.05321563328585375,0.07589474536516475,0.923767188340175
36,unvr_1_200_0_100_8.h5,unvr,7,0.004240053366188241,0.04569521654948343,0.06511569216546992,0.943047978065867
37,unvr_1_300_0_100_8.h5,unvr,7,0.004710665696934343,0.05311475626176893,0.0686342895128546,0.9376551181582409
38,unvr_5_100_0_100_8.h5,unvr,7,0.005950617894151053,0.059165492837387854,0.0771402482116246,0.9212445557879978
39,unvr_5_200_0_100_8.h5,unvr,7,0.005024479986516951,0.04919848447395507,0.07088356640658645,0.9262878272773378
40,unvr_5_300_0_100_8.h5,unvr,7,0.00480476480040605,0.05380121652774705,0.06931641075824721,0.9364097320780576
41,mapi_1_100_0.2_100_32.h5,mapi,30,0.014502407465817541,0.09189193637545555,0.12042594183072658,0.7267548947855005
42,mapi_1_100_0.2_100_8.h5,mapi,30,0.009952760067366612,0.07848355976455737,0.09976352072459457,0.8124764472248986
43,mapi_1_100_0.2_200_8.h5,mapi,30,0.00998946832641225,0.07876645669436107,0.09994732776023704,0.8117848136372472
44,mapi_1_100_0_100_32.h5,mapi,30,0.011318121930077451,0.08320547150798094,0.10638666236929069,0.7867511704588417
45,mapi_1_100_0_100_8.h5,mapi,30,0.009384824214275915,0.07675018727580277,0.09687530239579083,0.8231771320800602
46,mapi_1_100_0_200_32.h5,mapi,30,0.009874399040548014,0.07813055673848879,0.09937001077059424,0.8139528756777767
47,mapi_1_100_0_200_8.h5,mapi,30,0.009546548885684032,0.07733344834805836,0.09770644239600597,0.8201300190432179
48,mapi_1_200_0_100_8.h5,mapi,30,0.010603732868026846,0.07966865599384769,0.10297442822384034,0.7960965398023182
49,mapi_1_300_0_100_8.h5,mapi,30,0.009964178212668392,0.07921695657099334,0.09982073037535034,0.8122613138188285
50,mapi_5_100_0_100_8.h5,mapi,30,0.010916801659031807,0.08010861848286138,0.10448349945820061,0.7943125908605954
51,mapi_5_200_0_100_8.h5,mapi,7,0.009773435488511987,0.07721073302388588,0.09886068727513474,0.815855166484592
52,mapi_5_300_0_100_8.h5,mapi,7,0.010273816749542664,0.08020884736562398,0.1013598379514424,0.8064273021358652
53,inkp_1_100_0.2_100_32.h5,inkp,30,0.009210802936072812,0.0691115174702556,0.0959729281416005,0.9120437153015043
54,inkp_1_100_0.2_100_8.h5,inkp,30,0.0078073592930615185,0.06498849261745071,0.0883592626330795,0.9253274324474835
55,inkp_1_100_0.2_200_8.h5,inkp,30,0.008816204475066198,0.0694833237254678,0.0938946456144662,0.9150026206157649
56,inkp_1_100_0_100_32.h5,inkp,30,0.00953700012749171,0.06937484795002205,0.09765756564389526,0.9089287758944385
57,inkp_1_100_0_100_8.h5,inkp,30,0.008818053476051455,0.06823071202996474,0.09390449124536832,0.9157941791384332
58,inkp_1_100_0_200_32.h5,inkp,7,0.007789568563703312,0.06414214549977963,0.08825853252634168,0.9256154414525274
59,inkp_1_100_0_200_8.h5,inkp,30,0.008229299263499579,0.06634588682293659,0.09071548524645381,0.9197764765756331
60,inkp_1_200_0_100_8.h5,inkp,30,0.00873300348432333,0.06776322146280113,0.09345054031049435,0.916606343000581
61,inkp_1_300_0_100_8.h5,inkp,30,0.007880373520962734,0.06404200684398656,0.08877146794416962,0.9237757656850627
62,inkp_5_100_0_100_8.h5,inkp,7,0.009239524729100864,0.0684356396351818,0.09612244654138212,0.9107673523383262
63,inkp_5_200_0_100_8.h5,inkp,7,0.007881104271576992,0.0649712059757313,0.0887755837580187,0.9235365502563717
64,inkp_5_300_0_100_8.h5,inkp,7,0.011094522430403675,0.07939027098174944,0.10533053892581996,0.894055601856303
65,intp_1_100_0.2_100_32.h5,intp,30,0.005323510943077583,0.05245702184954651,0.07296239403334832,0.9146704975683169
66,intp_1_100_0.2_100_8.h5,intp,30,0.006328258805834954,0.05774266363148703,0.07955035390138095,0.8980364558788935
67,intp_1_100_0.2_200_8.h5,intp,30,0.0060191737685298605,0.056288521285666596,0.07758333434784728,0.8946295092505546
68,intp_1_100_0_100_32.h5,intp,30,0.00650514627412031,0.05978477231310306,0.08065448700549964,0.8933322116470477
69,intp_1_100_0_100_8.h5,intp,30,0.006628690098062263,0.061047919173454306,0.08141676791707138,0.893750039421449
70,intp_1_100_0_200_32.h5,intp,30,0.007360956080622622,0.06468635748333944,0.08579601436327111,0.8820126930333904
71,intp_1_100_0_200_8.h5,intp,30,0.006170513887686401,0.0590294078500541,0.07855261859216663,0.8939440616562869
72,intp_1_200_0_100_8.h5,intp,30,0.0054876814489147,0.052841127996575345,0.07407888666087457,0.9120390410489582
73,intp_1_300_0_100_8.h5,intp,30,0.00554666070576563,0.05255259553753235,0.0744759068811225,0.9110936742234378
74,intp_5_100_0_100_8.h5,intp,30,0.006273726664606918,0.05985050539610668,0.0792068599592669,0.8943776559659863
75,intp_5_200_0_100_8.h5,intp,30,0.006218237467121835,0.06131102857532904,0.07885580173406288,0.8767914653343029
76,intp_5_300_0_100_8.h5,intp,7,0.008955262866249961,0.06729961125509065,0.09463225066672545,0.856457865365019
77,aces_1_100_0.2_100_32.h5,aces,30,0.007318212885460087,0.06205745387721707,0.08554655390756595,0.8841513972097224
78,aces_1_100_0.2_100_8.h5,aces,30,0.006787796884601709,0.060030025443947185,0.08238808703084269,0.8923986461987459
79,aces_1_100_0.2_200_32.h5,aces,7,0.006784218954416573,0.059413429307838495,0.08236637028797963,0.8926046154719005
80,aces_1_100_0.2_200_8.h5,aces,30,0.0070178681933556145,0.061360899279972,0.08377271747625008,0.8878667272371579
81,aces_1_100_0_100_32.h5,aces,30,0.008233882010284814,0.06551636757325234,0.09074074063112343,0.8696561932043975
82,aces_1_100_0_100_8.h5,aces,30,0.006450106450928476,0.057497258493657444,0.08031255475284345,0.8978936754254255
83,aces_1_100_0_200_32.h5,aces,30,0.006467740802469224,0.058371222291815544,0.08042226558900976,0.8976145205253041
84,aces_1_100_0_200_8.h5,aces,30,0.006629136383265981,0.05937117419966541,0.0814195086159698,0.8950595999696342
85,aces_1_200_0_100_8.h5,aces,30,0.007303403318693488,0.06226023372981176,0.08545995154862591,0.8817752744422866
86,aces_1_300_0_100_8.h5,aces,30,0.007423514660998219,0.06305017960729072,0.08615982045593072,0.8805996693530174
87,aces_5_100_0_100_8.h5,aces,30,0.008447895832171379,0.06727895439290703,0.09191243567750437,0.8662683165968961
88,aces_5_200_0_100_8.h5,aces,7,0.006102677550623978,0.05547437596059638,0.07811963613985909,0.9024810342841476
89,aces_5_300_0_100_8.h5,aces,7,0.006091469763123384,0.056034019702741564,0.07804786840858234,0.901248597065562
90,sido_1_100_0.2_100_8.h5,sido,30,0.0027488613142739237,0.037755750573199735,0.05242958434199077,0.9705439789346851
91,sido_1_100_0.2_200_8.h5,sido,30,0.002935344378439088,0.03832573208547703,0.054178818540450736,0.9682401737238482
92,sido_1_100_0_100_8.h5,sido,30,0.0028146403837969055,0.037868769750934374,0.05305318448309117,0.968386563192566
93,sido_1_100_0_200_8.h5,sido,30,0.0029964599350194867,0.03880441667890716,0.0547399299873455,0.9678907820816637
94,sido_1_200_0_100_8.h5,sido,7,0.0024286375798565542,0.03738603423821243,0.04928120919637174,0.9739754059832714
95,sido_1_300_0_100_8.h5,sido,7,0.002653202272683285,0.036325559156621806,0.05150924453613434,0.971569034192857
96,sido_5_100_0_100_8.h5,sido,7,0.0027762155181821147,0.039601034990910014,0.05268980468916273,0.9692682484977085
97,sido_5_200_0_100_8.h5,sido,7,0.0034006917323118817,0.041505944938973464,0.05831545020242819,0.9635591483704664
98,sido_5_300_0_100_8.h5,sido,7,0.002904868463619288,0.04149655836309306,0.05389683166587149,0.9688722504070965
99,hrum_1_100_0_100_8.h5,hrum,7,0.007680988643948974,0.06504036783471652,0.08764124967131044,0.8490130224216966
100,hrum_1_200_0_100_8.h5,hrum,7,0.008542137594047395,0.07218773778538792,0.09242368524381288,0.8219806834330579
101,hrum_1_300_0_100_8.h5,hrum,7,0.009565376420834276,0.074388662593443,0.09780274239935338,0.8068876696558446
102,hrum_5_100_0_100_8.h5,hrum,7,0.06172962513861482,0.20477633448241042,0.24845447296962642,-0.21343357720801026
103,hrum_5_200_0_100_8.h5,hrum,7,0.04861553155479689,0.1821844582832238,0.22048930031817165,0.04435320593735537
104,hrum_5_300_0_100_8.h5,hrum,7,0.08848546826829702,0.23745282864598638,0.29746507066930905,-0.739379399285542
