,date,stock_code,prev,open,high,low,close,change
753,19 Mei 2022,UNTR,30300,30175,30175,29350,29975,-325
754,19 Mei 2022,UNVR,5025,4960,5000,4850,4880,-145
4,20 Mei 2022,ACES,1020,0,1025,990,1010,-10
34,20 Mei 2022,AMRT,1700,1730,1845,1730,1775,75
55,20 Mei 2022,ASII,7000,7050,7200,7050,7125,125
316,20 Mei 2022,HRUM,10700,10900,11250,10850,11050,350
346,20 Mei 2022,INKP,7525,7550,7850,7550,7625,100
354,20 Mei 2022,INTP,9825,9825,10000,9775,9900,75
447,20 Mei 2022,MAPI,845,0,865,820,845,0
644,20 Mei 2022,SIDO,965,0,970,950,960,-5
753,20 Mei 2022,UNTR,29975,29725,30500,29700,29900,-75
754,20 Mei 2022,UNVR,4880,4870,5125,4860,5050,170
4,23 Mei 2022,ACES,1010,0,1025,985,995,-15
34,23 Mei 2022,AMRT,1775,1785,1795,1660,1740,-35
55,23 Mei 2022,ASII,7125,7125,7175,6825,6950,-175
316,23 Mei 2022,HRUM,11050,11250,11300,10800,10900,-150
346,23 Mei 2022,INKP,7625,7725,7875,7650,7825,200
354,23 Mei 2022,INTP,9900,10000,10150,9950,10075,175
447,23 Mei 2022,MAPI,845,0,910,850,890,45
644,23 Mei 2022,SIDO,960,0,970,945,960,0
753,23 Mei 2022,UNTR,29900,30025,30150,29200,29650,-250
754,23 Mei 2022,UNVR,5050,5050,5075,4850,4880,-170
4,24 Mei 2022,ACES,995,0,995,960,975,-20
34,24 Mei 2022,AMRT,1740,1750,1785,1675,1695,-45
55,24 Mei 2022,ASII,6950,7025,7200,7025,7150,200
316,24 Mei 2022,HRUM,10900,10900,11150,10825,11075,175
346,24 Mei 2022,INKP,7825,7900,7925,7725,7775,-50
354,24 Mei 2022,INTP,10075,10150,10275,10100,10200,125
447,24 Mei 2022,MAPI,890,0,900,875,900,10
644,24 Mei 2022,SIDO,960,0,965,940,945,-15
753,24 Mei 2022,UNTR,29650,29650,30325,29625,30300,650
754,24 Mei 2022,UNVR,4880,4920,4950,4700,4810,-70
4,25 Mei 2022,ACES,975,0,1025,975,980,5
34,25 Mei 2022,AMRT,1695,1690,1800,1690,1755,60
55,25 Mei 2022,ASII,7150,7100,7175,7050,7100,-50
316,25 Mei 2022,HRUM,11075,11000,11000,10400,10425,-650
346,25 Mei 2022,INKP,7775,7825,7825,7575,7675,-100
354,25 Mei 2022,INTP,10200,10200,10225,10050,10200,0
447,25 Mei 2022,MAPI,900,0,900,875,895,-5
644,25 Mei 2022,SIDO,945,0,960,945,960,15
753,25 Mei 2022,UNTR,30300,30225,30800,29750,30175,-125
754,25 Mei 2022,UNVR,4810,4860,4900,4730,4770,-40
4,27 Mei 2022,ACES,980,0,1000,975,985,5
34,27 Mei 2022,AMRT,1755,1785,1815,1690,1690,-65
56,27 Mei 2022,ASII,7100,7200,7300,7150,7225,125
317,27 Mei 2022,HRUM,10425,10625,11425,10525,11425,1000
347,27 Mei 2022,INKP,7675,7750,7775,7625,7725,50
355,27 Mei 2022,INTP,10200,10275,10575,10275,10350,150
448,27 Mei 2022,MAPI,895,0,925,890,915,20
645,27 Mei 2022,SIDO,960,0,970,950,965,5
754,27 Mei 2022,UNTR,30175,30325,30400,30125,30400,225
755,27 Mei 2022,UNVR,4770,4800,4840,4710,4760,-10
4,30 Mei 2022,ACES,985,0,1010,980,1000,15
34,30 Mei 2022,AMRT,1690,1710,1760,1680,1690,0
56,30 Mei 2022,ASII,7225,7275,7275,7125,7250,25
317,30 Mei 2022,HRUM,11425,11500,11600,11150,11450,25
347,30 Mei 2022,INKP,7725,7775,8150,7750,8050,325
355,30 Mei 2022,INTP,10350,10350,10575,10200,10225,-125
448,30 Mei 2022,MAPI,915,0,920,890,900,-15
